(0, 0)
(0, 0)
(0, 0)
(1, 0)
(2, 0)
(3, 0)
(3, 0)
(4, 1)
(4, 1)
(5, 2)
(5, 3)
(5, 4)
(5, 5)
(5, 6)
(5, 6)
(4, 7)
(4, 7)
(3, 8)
(2, 8)
(1, 8)
(0, 8)
(-1, 8)
(-1, 8)
(-2, 7)
(-2, 7)
(-2, 7)
(-2, 6)
(-2, 6)
(-1, 5)
(0, 5)
(1, 5)
(2, 5)
(3, 5)
(4, 5)
(5, 5)
(6, 5)
(7, 5)
(8, 5)
(9, 5)
(10, 5)
(11, 5)
(12, 5)
(12, 5)
(13, 4)
(13, 4)
(14, 3)
(14, 2)
(14, 1)
(14, 0)
(14, -1)
(14, -2)
(14, -3)
(14, -3)
(13, -4)
(13, -4)
(12, -5)
(11, -5)
(10, -5)
(9, -5)
(8, -5)
(7, -5)
(6, -5)
(5, -5)
(4, -5)
(3, -5)
(2, -5)
(1, -5)
(0, -5)
(-1, -5)
(-2, -5)
(-3, -5)
(-4, -5)
(-5, -5)
(-6, -5)
(-7, -5)
(-8, -5)
(-9, -5)
(-9, -5)
(-10, -4)
(-10, -4)
(-11, -3)
(-11, -2)
(-11, -1)
(-11, 0)
(-11, 1)
(-11, 2)
(-11, 3)
(-11, 4)
(-11, 5)
(-11, 6)
(-11, 7)
(-11, 8)
(-11, 9)
(-11, 10)
(-11, 11)
(-11, 12)
(-11, 13)
